model,gamma,f,aggregator,attack,accuracy
snn_atan12,0.0,4,CenteredClipping,Optimal_InnerProductManipulation,0.13
snn_atan12,0.0,5,CenteredClipping,Optimal_InnerProductManipulation,0.13
snn_atan12,0.33,0,CenteredClipping,Optimal_InnerProductManipulation,0.97
snn_atan12,0.33,1,CenteredClipping,Optimal_InnerProductManipulation,0.9
snn_atan12,0.33,2,CenteredClipping,Optimal_InnerProductManipulation,0.77
snn_atan12,0.33,3,CenteredClipping,Optimal_InnerProductManipulation,0.22
snn_atan12,0.33,4,CenteredClipping,Optimal_InnerProductManipulation,0.13
snn_atan12,0.33,5,CenteredClipping,Optimal_InnerProductManipulation,0.13
snn_atan12,0.66,0,CenteredClipping,Optimal_InnerProductManipulation,0.97
snn_atan12,0.66,1,CenteredClipping,Optimal_InnerProductManipulation,0.95
snn_atan12,0.66,2,CenteredClipping,Optimal_InnerProductManipulation,0.94
snn_atan12,0.66,3,CenteredClipping,Optimal_InnerProductManipulation,0.94
snn_atan12,0.66,4,CenteredClipping,Optimal_InnerProductManipulation,0.93
snn_atan12,0.66,5,CenteredClipping,Optimal_InnerProductManipulation,0.91
snn_atan12,1.0,0,CenteredClipping,Optimal_InnerProductManipulation,0.97
snn_atan12,1.0,1,CenteredClipping,Optimal_InnerProductManipulation,0.97
snn_atan12,1.0,2,CenteredClipping,Optimal_InnerProductManipulation,0.96
snn_atan12,1.0,3,CenteredClipping,Optimal_InnerProductManipulation,0.96
snn_atan12,1.0,4,CenteredClipping,Optimal_InnerProductManipulation,0.95
snn_atan12,1.0,5,CenteredClipping,Optimal_InnerProductManipulation,0.95
cnn_relu,0.0,0,TrMean,Optimal_ALittleIsEnough_neg1,0.99
cnn_relu,0.0,1,TrMean,Optimal_ALittleIsEnough_neg1,0.39
cnn_relu,0.0,2,TrMean,Optimal_ALittleIsEnough_neg1,0.27
cnn_relu,0.0,3,TrMean,Optimal_ALittleIsEnough_neg1,0.16
cnn_relu,0.0,4,TrMean,Optimal_ALittleIsEnough_neg1,0.16
cnn_relu,0.0,5,TrMean,Optimal_ALittleIsEnough_neg1,0.16
cnn_relu,0.33,0,TrMean,Optimal_ALittleIsEnough_neg1,0.99
cnn_relu,0.33,1,TrMean,Optimal_ALittleIsEnough_neg1,0.71
cnn_relu,0.33,2,TrMean,Optimal_ALittleIsEnough_neg1,0.67
cnn_relu,0.33,3,TrMean,Optimal_ALittleIsEnough_neg1,0.26
cnn_relu,0.33,4,TrMean,Optimal_ALittleIsEnough_neg1,0.42
cnn_relu,0.33,5,TrMean,Optimal_ALittleIsEnough_neg1,0.22
cnn_relu,0.66,0,TrMean,Optimal_ALittleIsEnough_neg1,0.99
cnn_relu,0.66,1,TrMean,Optimal_ALittleIsEnough_neg1,0.96
cnn_relu,0.66,2,TrMean,Optimal_ALittleIsEnough_neg1,0.97
cnn_relu,0.66,3,TrMean,Optimal_ALittleIsEnough_neg1,0.93
cnn_relu,0.66,4,TrMean,Optimal_ALittleIsEnough_neg1,0.86
cnn_relu,0.66,5,TrMean,Optimal_ALittleIsEnough_neg1,0.79
cnn_relu,1.0,0,TrMean,Optimal_ALittleIsEnough_neg1,0.99
cnn_relu,1.0,1,TrMean,Optimal_ALittleIsEnough_neg1,0.99
cnn_relu,1.0,2,TrMean,Optimal_ALittleIsEnough_neg1,0.98
cnn_relu,1.0,3,TrMean,Optimal_ALittleIsEnough_neg1,0.98
cnn_relu,1.0,4,TrMean,Optimal_ALittleIsEnough_neg1,0.98
cnn_relu,1.0,5,TrMean,Optimal_ALittleIsEnough_neg1,0.98
cnn_relu,0.0,0,TrMean,SignFlipping,0.99
cnn_relu,0.0,1,TrMean,SignFlipping,0.59
cnn_relu,0.0,2,TrMean,SignFlipping,0.41
cnn_relu,0.0,3,TrMean,SignFlipping,0.21
cnn_relu,0.0,4,TrMean,SignFlipping,0.16
cnn_relu,0.0,5,TrMean,SignFlipping,0.16
cnn_relu,0.33,0,TrMean,SignFlipping,0.99
cnn_relu,0.33,1,TrMean,SignFlipping,0.98
cnn_relu,0.33,2,TrMean,SignFlipping,0.96
cnn_relu,0.33,3,TrMean,SignFlipping,0.58
cnn_relu,0.33,4,TrMean,SignFlipping,0.71
cnn_relu,0.33,5,TrMean,SignFlipping,0.55
cnn_relu,0.66,0,TrMean,SignFlipping,0.99
cnn_relu,0.66,1,TrMean,SignFlipping,0.98
cnn_relu,0.66,2,TrMean,SignFlipping,0.98
cnn_relu,0.66,3,TrMean,SignFlipping,0.97
cnn_relu,0.66,4,TrMean,SignFlipping,0.96
cnn_relu,0.66,5,TrMean,SignFlipping,0.96
cnn_relu,1.0,0,TrMean,SignFlipping,0.99
cnn_relu,1.0,1,TrMean,SignFlipping,0.99
cnn_relu,1.0,2,TrMean,SignFlipping,0.98
cnn_relu,1.0,3,TrMean,SignFlipping,0.98
cnn_relu,1.0,4,TrMean,SignFlipping,0.98
cnn_relu,1.0,5,TrMean,SignFlipping,0.97
cnn_relu,0.0,0,TrMean,Optimal_InnerProductManipulation,0.99
cnn_relu,0.0,1,TrMean,Optimal_InnerProductManipulation,0.16
cnn_relu,0.0,2,TrMean,Optimal_InnerProductManipulation,0.31
cnn_relu,0.0,3,TrMean,Optimal_InnerProductManipulation,0.16
cnn_relu,0.0,4,TrMean,Optimal_InnerProductManipulation,0.16
cnn_relu,0.0,5,TrMean,Optimal_InnerProductManipulation,0.16
cnn_relu,0.33,0,TrMean,Optimal_InnerProductManipulation,0.99
cnn_relu,0.33,1,TrMean,Optimal_InnerProductManipulation,0.68
cnn_relu,0.33,2,TrMean,Optimal_InnerProductManipulation,0.69
cnn_relu,0.33,3,TrMean,Optimal_InnerProductManipulation,0.63
cnn_relu,0.33,4,TrMean,Optimal_InnerProductManipulation,0.4
